Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,home,game_id
Ben Winterburn,47.0,eng ENG,CM,20-345,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1759666718714252820
Marcus Tavernier,16.0,eng ENG,"CM,DM",26-146,90,41,38,2,0,0,0,5,0,2,1,0,0,27,1,1,False,1759666718714252820
Alex Scott,8.0,eng ENG,CM,21-359,73,26,21,5,0,0,0,3,0,2,2,0,0,19,0,0,False,1759666718714252820
Hamed Junior Traorè,25.0,ci CIV,"LM,CM",25-180,17,3,2,1,0,0,0,1,0,1,1,0,0,2,0,0,False,1759666718714252820
Antoine Semenyo,24.0,gh GHA,RM,25-220,90,19,15,4,0,0,0,0,4,0,0,0,0,7,0,0,False,1759666718714252820
Tyler Adams,12.0,us USA,DM,26-182,89,39,39,0,0,0,0,0,0,0,0,0,0,28,0,4,False,1759666718714252820
Eli Junior Kroupi,22.0,fr FRA,CM,19-053,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False,1759666718714252820
Adrien Truffert,3.0,fr FRA,LB,23-268,90,27,22,5,0,0,0,4,5,0,0,0,0,21,0,1,False,1759666718714252820
Marcos Senesi,5.0,ar ARG,CB,28-097,90,33,32,1,1,0,0,2,0,0,0,0,0,22,0,0,False,1759666718714252820
Bafodé Diakité,18.0,fr FRA,CB,24-221,90,41,39,2,2,0,1,0,0,0,0,0,0,30,0,0,False,1759666718714252820
Adam Smith,15.0,eng ENG,RB,34-108,89,32,24,8,2,0,0,1,6,0,0,0,0,20,0,1,False,1759666718714252820
James Hill,23.0,eng ENG,RB,23-217,1,4,2,2,0,0,0,0,2,0,0,0,0,2,0,0,False,1759666718714252820
Đorđe Petrović,1.0,rs SRB,GK,25-311,90,40,27,13,2,0,0,0,0,0,0,0,0,27,0,0,False,1759666718714252820
Ollie Watkins,11.0,eng ENG,FW,29-229,90,16,16,0,0,0,0,1,0,0,0,0,0,9,0,1,True,7460724443402550022
Morgan Rogers,27.0,eng ENG,"LW,LM",23-021,90,20,20,0,0,3,0,0,0,0,0,0,0,10,0,0,True,7460724443402550022
John McGinn,7.0,sct SCO,"RW,RM",30-302,83,22,21,1,0,0,0,3,0,1,1,0,0,15,0,0,True,7460724443402550022
Donyell Malen,17.0,nl NED,RM,26-219,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,7460724443402550022
Youri Tielemans,8.0,be BEL,"AM,CM",28-101,90,21,19,1,0,0,0,1,0,0,0,0,0,14,1,0,True,7460724443402550022
Amadou Onana,24.0,be BEL,"DM,CM",24-000,90,43,43,0,0,0,0,0,0,0,0,0,0,36,0,1,True,7460724443402550022
Boubacar Kamara,44.0,fr FRA,"DM,CB",25-266,90,39,37,2,1,0,0,0,0,1,0,0,0,32,0,1,True,7460724443402550022
Lucas Digne,12.0,fr FRA,LB,32-027,90,39,28,11,0,0,0,2,10,1,0,0,0,23,0,2,True,7460724443402550022
Tyrone Mings,5.0,eng ENG,CB,32-156,90,42,31,10,7,1,0,0,0,0,0,0,0,35,1,0,True,7460724443402550022
Ezri Konsa,4.0,eng ENG,CB,27-297,65,33,32,1,1,0,0,0,0,0,0,0,0,30,0,0,True,7460724443402550022
Matty Cash,2.0,pl POL,RB,28-009,90,25,17,8,0,0,1,4,8,0,0,0,0,15,0,1,True,7460724443402550022
Marco Bizot,40.0,nl NED,GK,34-159,90,45,31,14,3,0,0,0,0,0,0,0,0,24,0,0,True,7460724443402550022
Anthony Gordon,10.0,eng ENG,FW,24-173,90,22,21,1,0,0,1,1,0,1,1,0,0,13,0,2,False,7460724443402550022
Harvey Barnes,11.0,eng ENG,LW,27-250,89,34,34,0,0,0,0,5,0,0,0,0,0,25,0,2,False,7460724443402550022
William Osula,18.0,dk DEN,LW,22-012,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,7460724443402550022
Anthony Elanga,20.0,se SWE,RW,23-111,77,27,26,1,0,1,0,5,1,0,0,0,0,20,0,0,False,7460724443402550022
Jacob Murphy,23.0,eng ENG,RW,30-173,13,11,11,0,0,0,0,1,0,0,0,0,0,9,0,0,False,7460724443402550022
Joelinton,7.0,br BRA,LM,29-002,82,25,23,1,1,0,0,1,0,0,0,0,0,21,1,0,False,7460724443402550022
Lewis Miley,67.0,eng ENG,LM,19-107,8,11,11,0,0,0,0,0,0,0,0,0,0,7,0,1,False,7460724443402550022
Sandro Tonali,8.0,it ITA,CM,25-100,90,61,57,4,0,1,0,3,0,3,3,0,0,48,0,0,False,7460724443402550022
Bruno Guimarães,39.0,br BRA,RM,27-273,90,48,47,1,1,2,1,1,0,0,0,0,0,41,0,1,False,7460724443402550022
Valentino Livramento,21.0,eng ENG,LB,22-277,90,61,55,6,2,0,1,3,4,0,0,0,0,55,0,1,False,7460724443402550022
Dan Burn,33.0,eng ENG,CB,33-099,90,52,52,0,0,0,0,0,0,0,0,0,0,42,0,0,False,7460724443402550022
Fabian Schär,5.0,ch SUI,CB,33-239,90,52,49,3,3,0,3,1,0,0,0,0,0,44,0,0,False,7460724443402550022
Kieran Trippier,2.0,eng ENG,RB,34-331,90,65,54,11,5,0,0,5,4,2,0,2,0,54,0,1,False,7460724443402550022
Nick Pope,1.0,eng ENG,GK,33-119,90,29,23,6,3,0,0,0,0,0,0,0,0,23,0,0,False,7460724443402550022
Eliezer Mayenda,12.0,es ESP,FW,20-100,75,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,True,6028078709471999348
Wilson Isidor,18.0,fr FRA,FW,24-354,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,True,6028078709471999348
Simon Adingra,24.0,ci CIV,LW,23-227,75,21,21,0,0,0,0,3,0,0,0,0,0,14,0,2,True,6028078709471999348
Enzo Le Fée,28.0,fr FRA,LW,25-194,15,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,True,6028078709471999348
Chemsdine Talbi,7.0,ma MAR,RW,20-099,89,25,25,0,0,0,0,2,0,0,0,0,0,24,0,1,True,6028078709471999348
Chris Rigg,11.0,eng ENG,RW,18-059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,6028078709471999348
Noah Sadiki,27.0,cd COD,LM,20-242,90,29,29,0,0,0,0,0,0,0,0,0,0,23,0,1,True,6028078709471999348
Granit Xhaka,34.0,ch SUI,CM,32-323,90,53,46,7,4,0,0,2,0,2,2,0,0,40,0,1,True,6028078709471999348
Habib Diarra,19.0,sn SEN,RM,21-225,90,23,23,0,0,0,0,3,0,0,0,0,0,15,0,4,True,6028078709471999348
Reinildo Mandava,17.0,mz MOZ,LB,31-207,90,51,42,9,0,0,0,0,9,0,0,0,0,38,0,1,True,6028078709471999348
Jenson Seelt,23.0,nl NED,CB,22-085,52,28,28,0,0,0,0,0,0,0,0,0,0,23,0,0,True,6028078709471999348
Omar Alderete,15.0,py PAR,CB,28-233,38,16,16,0,0,0,0,1,0,0,0,0,0,15,0,0,True,6028078709471999348
Daniel Ballard,5.0,nir NIR,CB,25-328,90,25,21,4,1,0,0,0,0,0,0,0,0,21,0,0,True,6028078709471999348
Trai Hume,32.0,nir NIR,RB,23-151,90,51,39,12,1,0,0,6,8,3,2,0,1,32,0,2,True,6028078709471999348
Robin Roefs,22.0,nl NED,GK,22-211,90,26,19,7,4,0,0,0,0,0,0,0,0,13,0,0,True,6028078709471999348
Niclas Füllkrug,11.0,de GER,"FW,AM",32-188,90,23,23,0,0,0,0,0,0,0,0,0,0,15,0,0,False,6028078709471999348
Jarrod Bowen,20.0,eng ENG,"FW,AM",28-239,90,30,26,4,0,0,0,1,0,1,1,0,0,22,0,2,False,6028078709471999348
Lucas Paquetá,10.0,br BRA,"AM,DM,CM",27-354,90,65,64,1,0,0,0,1,0,1,0,1,0,53,0,0,False,6028078709471999348
Guido Rodríguez,24.0,ar ARG,CM,31-126,70,34,34,0,0,0,1,2,0,0,0,0,0,28,0,1,False,6028078709471999348
Callum Wilson,9.0,eng ENG,FW,33-170,20,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,False,6028078709471999348
James Ward-Prowse,8.0,eng ENG,CM,30-288,70,50,45,5,2,0,1,3,1,1,0,1,0,44,0,0,False,6028078709471999348
Tomáš Souček,28.0,cz CZE,"DM,CM",30-170,20,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0,False,6028078709471999348
El Hadji Malick Diouf,12.0,sn SEN,"WB,LB",20-231,90,40,36,4,0,1,0,4,3,1,0,1,0,30,0,0,False,6028078709471999348
Aaron Wan-Bissaka,29.0,cd COD,"WB,RB",27-263,90,85,72,13,0,0,0,5,13,0,0,0,0,70,0,7,False,6028078709471999348
Nayef Aguerd,5.0,ma MAR,CB,29-139,90,72,69,3,1,0,2,1,2,0,0,0,0,63,0,1,False,6028078709471999348
Max Kilman,3.0,eng ENG,CB,28-085,90,71,66,5,0,0,0,1,0,0,0,0,0,67,0,0,False,6028078709471999348
Jean-Clair Todibo,25.0,fr FRA,CB,25-229,81,69,67,2,2,0,0,2,0,0,0,0,0,62,0,0,False,6028078709471999348
Andy Irving,39.0,sct SCO,AM,25-095,9,12,6,6,2,0,0,5,1,3,3,0,0,7,0,0,False,6028078709471999348
Mads Hermansen,1.0,dk DEN,GK,25-036,90,37,35,2,1,0,0,0,0,0,0,0,0,25,0,0,False,6028078709471999348
Richarlison,9.0,br BRA,FW,28-098,70,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1,True,1398444668172229701
Dominic Solanke,19.0,eng ENG,FW,27-336,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,True,1398444668172229701
Brennan Johnson,22.0,wls WAL,LW,24-085,79,21,21,0,0,0,0,6,0,0,0,0,0,14,0,0,True,1398444668172229701
Wilson Odobert,28.0,fr FRA,"RW,LW",20-261,11,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,True,1398444668172229701
Mohammed Kudus,20.0,gh GHA,RW,25-014,84,34,29,5,1,0,1,10,0,4,4,0,0,27,0,1,True,1398444668172229701
Mathys Tel,11.0,fr FRA,LW,20-111,6,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,True,1398444668172229701
Lucas Bergvall,15.0,se SWE,LM,19-195,79,26,22,4,0,0,1,1,3,0,0,0,0,19,0,0,True,1398444668172229701
João Palhinha,6.0,pt POR,"DM,LM",30-038,11,13,12,1,1,0,1,0,0,0,0,0,0,11,0,0,True,1398444668172229701
Archie Gray,14.0,eng ENG,CM,19-157,70,41,41,0,0,0,0,0,0,0,0,0,0,38,0,0,True,1398444668172229701
Rodrigo Bentancur,30.0,uy URU,"DM,CM",28-052,20,14,14,0,0,0,0,0,0,0,0,0,0,14,0,0,True,1398444668172229701
Pape Matar Sarr,29.0,sn SEN,"RM,AM",22-336,90,52,52,0,0,1,0,0,0,0,0,0,0,43,0,2,True,1398444668172229701
Djed Spence,24.0,eng ENG,LB,25-007,90,56,53,3,0,0,0,2,3,0,0,0,0,51,0,1,True,1398444668172229701
Micky van de Ven,37.0,nl NED,CB,24-119,90,68,65,3,0,0,0,0,0,0,0,0,0,63,0,0,True,1398444668172229701
Cristian Romero,17.0,ar ARG,CB,27-111,90,88,83,5,3,0,0,0,0,0,0,0,0,78,0,0,True,1398444668172229701
Pedro Porro,23.0,es ESP,RB,25-337,90,81,66,15,2,0,1,8,11,2,1,0,0,59,0,4,True,1398444668172229701
Guglielmo Vicario,1.0,it ITA,GK,28-313,90,50,41,9,5,0,0,0,0,0,0,0,0,47,0,0,True,1398444668172229701
Lyle Foster,9.0,za RSA,FW,24-347,73,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0,False,1398444668172229701
Zian Flemming,19.0,nl NED,FW,27-015,17,3,2,1,0,0,0,0,1,0,0,0,0,0,0,1,False,1398444668172229701
Jaidon Anthony,11.0,eng ENG,"LM,RM",25-258,84,22,21,0,0,0,0,1,0,0,0,0,0,16,1,0,False,1398444668172229701
Marcus Edwards,10.0,eng ENG,FW,26-256,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1398444668172229701
Josh Cullen,24.0,ie IRL,CM,29-131,90,38,32,5,4,1,0,1,0,1,0,0,0,31,1,0,False,1398444668172229701
Josh Laurent,29.0,eng ENG,CM,30-102,62,14,14,0,0,0,0,0,0,0,0,0,0,8,0,1,False,1398444668172229701
Lesley Ugochukwu,8.0,fr FRA,CM,21-143,28,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,False,1398444668172229701
Hannibal Mejbri,28.0,tn TUN,RM,22-207,62,10,7,3,0,0,0,0,0,0,0,0,0,9,0,0,False,1398444668172229701
Jacob Bruun Larsen,7.0,dk DEN,"LM,FW",26-331,28,10,9,1,0,0,0,2,0,0,0,0,0,5,0,1,False,1398444668172229701
Quilindschy Hartman,3.0,nl NED,LB,23-275,90,32,21,10,2,0,0,7,4,4,4,0,0,19,1,2,False,1398444668172229701
Maxime Estève,5.0,fr FRA,CB,23-082,90,23,22,1,1,0,0,0,0,0,0,0,0,18,0,1,False,1398444668172229701
Hjalmar Ekdal,18.0,se SWE,CB,26-299,90,21,21,0,0,0,0,0,0,0,0,0,0,17,0,0,False,1398444668172229701
Kyle Walker,2.0,eng ENG,"CB,RB",35-080,90,39,27,12,2,0,2,0,10,0,0,0,0,30,0,1,False,1398444668172229701
Oliver Sonne,22.0,pe PER,"RB,RM",24-279,73,16,16,0,0,0,0,3,0,0,0,0,0,11,0,1,False,1398444668172229701
Loum Tchaouna,17.0,fr FRA,"FW,RM",21-342,17,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,False,1398444668172229701
Martin Dúbravka,1.0,sk SVK,GK,36-213,90,32,15,16,3,0,0,0,0,0,0,0,0,14,1,0,False,1398444668172229701
Georginio Rutter,10.0,fr FRA,FW,23-118,68,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,True,-8101771895601449150
Danny Welbeck,18.0,eng ENG,FW,34-263,22,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,True,-8101771895601449150
Kaoru Mitoma,22.0,jp JPN,LW,28-088,82,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0,True,-8101771895601449150
Brajan Gruda,8.0,de GER,RW,21-077,8,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,True,-8101771895601449150
Yankuba Minteh,11.0,gm GAM,RW,21-025,68,17,16,0,0,0,0,1,0,0,0,0,0,11,1,0,True,-8101771895601449150
Ferdi Kadioglu,24.0,tr TUR,"LW,RW",25-313,22,8,7,0,0,0,0,0,0,0,0,0,0,5,1,0,True,-8101771895601449150
Matt O'Riley,33.0,dk DEN,AM,24-268,87,26,23,3,0,0,0,4,0,2,2,0,0,20,0,1,True,-8101771895601449150
James Milner,20.0,eng ENG,DM,39-224,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True,-8101771895601449150
Yasin Ayari,26.0,se SWE,DM,21-314,90,45,41,4,2,0,1,4,0,2,2,0,0,39,0,0,True,-8101771895601449150
Carlos Baleba,17.0,cm CMR,DM,21-225,68,20,20,0,0,0,0,0,0,0,0,0,0,18,0,1,True,-8101771895601449150
Diego Gómez,25.0,py PAR,"DM,AM",22-142,22,9,8,0,0,0,0,0,0,0,0,0,0,6,1,0,True,-8101771895601449150
Maxim De Cuyper,29.0,be BEL,LB,24-237,90,36,32,4,2,0,1,1,2,0,0,0,0,32,0,0,True,-8101771895601449150
Lewis Dunk,5.0,eng ENG,CB,33-268,90,90,77,13,5,0,0,0,0,0,0,0,0,86,0,0,True,-8101771895601449150
Jan Paul van Hecke,6.0,nl NED,CB,25-069,90,81,79,2,2,0,3,0,0,0,0,0,0,77,0,0,True,-8101771895601449150
Mats Wieffer,27.0,nl NED,RB,25-273,90,47,38,9,1,0,2,1,8,0,0,0,0,36,0,0,True,-8101771895601449150
Bart Verbruggen,1.0,nl NED,GK,22-363,90,42,38,4,4,0,0,0,0,0,0,0,0,32,0,1,True,-8101771895601449150
Raúl Jiménez,7.0,mx MEX,FW,34-103,65,13,13,0,0,0,0,0,0,0,0,0,0,7,0,2,False,-8101771895601449150
Rodrigo Muniz,9.0,br BRA,FW,24-104,25,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,False,-8101771895601449150
Alex Iwobi,17.0,ng NGA,LW,29-105,65,28,26,2,1,0,0,3,1,0,0,0,0,21,0,0,False,-8101771895601449150
Adama Traoré,11.0,es ESP,"LW,RW",29-203,25,6,6,0,0,0,0,2,0,0,0,0,0,4,0,0,False,-8101771895601449150
Harry Wilson,8.0,wls WAL,"RW,LW",28-147,90,21,18,3,1,0,1,4,0,2,1,1,0,15,0,0,False,-8101771895601449150
Joshua King,24.0,eng ENG,AM,18-225,76,26,26,0,0,0,0,0,0,0,0,0,0,22,0,2,False,-8101771895601449150
Emile Smith Rowe,32.0,eng ENG,AM,25-019,14,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,False,-8101771895601449150
Sander Berge,16.0,no NOR,DM,27-183,65,23,23,0,0,0,0,0,0,0,0,0,0,21,0,0,False,-8101771895601449150
Tom Cairney,10.0,sct SCO,DM,34-208,25,16,16,0,0,0,0,0,0,0,0,0,0,12,0,0,False,-8101771895601449150
Saša Lukić,20.0,rs SRB,DM,29-003,90,40,32,8,5,0,0,2,0,1,1,0,0,36,0,0,False,-8101771895601449150
Calvin Bassey,3.0,ng NGA,"LB,CB",25-228,90,70,54,16,2,0,0,0,14,0,0,0,0,56,0,3,False,-8101771895601449150
Jorge Cuenca,15.0,es ESP,CB,25-272,83,56,52,4,2,0,0,0,0,0,0,0,0,50,0,2,False,-8101771895601449150
Timothy Castagne,21.0,be BEL,LB,29-254,7,8,6,2,0,0,0,1,2,0,0,0,0,6,0,0,False,-8101771895601449150
Joachim Andersen,5.0,dk DEN,CB,29-077,90,52,48,3,3,0,1,0,0,0,0,0,0,43,1,1,False,-8101771895601449150
Kenny Tete,2.0,nl NED,RB,29-311,90,40,35,4,1,0,0,2,3,0,0,0,0,35,1,0,False,-8101771895601449150
Bernd Leno,1.0,de GER,GK,33-165,90,53,41,12,4,0,0,0,0,0,0,0,0,40,0,0,False,-8101771895601449150
Jørgen Strand Larsen,9.0,no NOR,FW,25-191,81,17,16,1,0,0,0,0,0,0,0,0,0,12,0,2,True,-1825277201589980653
Hwang Hee-chan,11.0,kr KOR,FW,29-202,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,True,-1825277201589980653
Jean-Ricner Bellegarde,27.0,ht HAI,LW,27-050,72,27,19,7,2,1,0,3,0,2,2,0,0,22,1,0,True,-1825277201589980653
Jhon Arias,10.0,co COL,LW,27-329,18,10,7,3,0,0,0,2,1,1,1,0,0,7,0,0,True,-1825277201589980653
Marshall Munetsi,5.0,zw ZIM,RW,29-055,90,14,14,0,0,0,0,2,0,0,0,0,0,9,0,0,True,-1825277201589980653
David Møller Wolfe,6.0,no NOR,LM,23-115,71,28,22,6,0,0,0,3,5,1,1,0,0,14,0,2,True,-1825277201589980653
Hugo Bueno,3.0,es ESP,LM,22-332,19,15,12,3,0,0,0,2,3,0,0,0,0,11,0,1,True,-1825277201589980653
João Gomes,8.0,br BRA,CM,24-185,90,57,57,0,0,0,0,0,0,0,0,0,0,52,0,0,True,-1825277201589980653
André,7.0,br BRA,CM,24-031,71,30,30,0,0,0,0,0,0,0,0,0,0,29,0,0,True,-1825277201589980653
Fer López,28.0,es ESP,CM,21-084,19,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,True,-1825277201589980653
Ki-Jana Hoever,26.0,nl NED,RM,23-210,72,38,27,10,0,0,2,5,10,0,0,0,0,22,1,4,True,-1825277201589980653
Rodrigo Gomes,21.0,pt POR,RM,22-040,18,10,8,2,0,0,0,1,2,0,0,0,0,7,0,0,True,-1825277201589980653
Toti Gomes,24.0,pt POR,CB,26-212,90,59,56,3,2,0,0,1,1,0,0,0,0,51,0,0,True,-1825277201589980653
Emmanuel Agbadou,12.0,ci CIV,CB,28-060,90,61,59,2,1,0,1,0,0,0,0,0,0,51,0,0,True,-1825277201589980653
Matt Doherty,2.0,ie IRL,CB,33-212,90,47,42,3,1,0,0,1,2,0,0,0,0,41,2,0,True,-1825277201589980653
José Sá,1.0,pt POR,GK,32-211,90,26,17,9,1,0,0,0,0,0,0,0,0,21,0,0,True,-1825277201589980653
Erling Haaland,9.0,no NOR,FW,25-026,72,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,False,-1825277201589980653
Rayan Cherki,10.0,fr FRA,FW,21-364,18,20,20,0,0,0,0,0,0,0,0,0,0,18,0,0,False,-1825277201589980653
Jeremy Doku,11.0,be BEL,LW,23-081,65,22,22,0,0,0,0,3,0,0,0,0,0,18,0,1,False,-1825277201589980653
Omar Marmoush,7.0,eg EGY,LW,26-190,25,6,5,1,1,0,0,0,0,0,0,0,0,5,0,1,False,-1825277201589980653
Oscar Bobb,52.0,no NOR,RW,22-035,90,34,32,2,1,0,1,1,1,0,0,0,0,31,0,1,False,-1825277201589980653
Bernardo Silva,20.0,pt POR,LM,31-006,65,44,35,9,2,0,0,9,1,5,3,1,1,39,0,0,False,-1825277201589980653
Nico O’Reilly,33.0,eng ENG,LM,20-148,25,18,18,0,0,0,0,0,0,0,0,0,0,18,0,0,False,-1825277201589980653
Nicolás González,14.0,es ESP,CM,23-225,90,78,74,4,4,0,0,0,0,0,0,0,0,72,0,0,False,-1825277201589980653
Tijjani Reijnders,4.0,nl NED,RM,27-018,90,60,59,1,1,1,0,3,0,0,0,0,0,53,0,2,False,-1825277201589980653
Rayan Aït-Nouri,21.0,dz ALG,LB,24-071,90,68,60,8,1,0,0,1,7,0,0,0,0,60,0,3,False,-1825277201589980653
Rúben Dias,3.0,pt POR,CB,28-094,90,79,78,1,1,0,0,0,0,0,0,0,0,71,0,0,False,-1825277201589980653
John Stones,5.0,eng ENG,CB,31-080,81,61,60,1,1,0,1,2,0,0,0,0,0,55,0,0,False,-1825277201589980653
Abdukodir Khusanov,45.0,uz UZB,CB,21-168,9,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,False,-1825277201589980653
Rico Lewis,82.0,eng ENG,RB,20-268,65,54,50,4,0,0,1,1,4,0,0,0,0,49,0,0,False,-1825277201589980653
Matheus Nunes,27.0,pt POR,RB,26-354,25,20,14,6,2,0,0,0,4,0,0,0,0,18,0,0,False,-1825277201589980653
James Trafford,1.0,eng ENG,GK,22-310,90,31,26,5,2,0,0,0,0,0,0,0,0,22,0,0,False,-1825277201589980653
Chris Wood,11.0,nz NZL,FW,33-253,78,12,12,0,0,0,0,0,0,0,0,0,0,9,0,0,True,146653907833347737
Igor Jesus,19.0,br BRA,FW,24-173,12,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,True,146653907833347737
Callum Hudson-Odoi,7.0,eng ENG,LW,24-283,90,41,40,1,0,0,0,5,0,1,0,0,0,35,0,1,True,146653907833347737
Dan Ndoye,14.0,ch SUI,RW,24-296,78,14,13,0,0,0,0,2,0,0,0,0,0,7,1,1,True,146653907833347737
Jota Silva,20.0,pt POR,RW,26-016,12,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,True,146653907833347737
Morgan Gibbs-White,10.0,eng ENG,AM,25-202,83,56,56,0,0,2,0,2,0,0,0,0,0,45,0,3,True,146653907833347737
Ryan Yates,22.0,eng ENG,DM,27-269,7,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,True,146653907833347737
Elliot Anderson,8.0,eng ENG,"DM,AM",22-284,90,82,71,11,5,1,2,6,0,4,3,0,0,66,0,0,True,146653907833347737
Ibrahim Sangaré,6.0,ci CIV,DM,27-258,90,47,44,2,1,0,0,1,1,0,0,0,0,38,1,1,True,146653907833347737
Neco Williams,3.0,wls WAL,LB,24-126,90,50,42,8,1,0,0,3,7,0,0,0,0,40,0,1,True,146653907833347737
Murillo,5.0,br BRA,CB,23-044,90,50,46,4,3,0,3,0,0,0,0,0,0,40,0,0,True,146653907833347737
Nikola Milenković,31.0,rs SRB,CB,27-309,90,27,27,0,0,0,0,0,0,0,0,0,0,20,0,1,True,146653907833347737
Ola Aina,34.0,ng NGA,RB,28-313,90,48,35,13,2,0,1,4,11,0,0,0,0,36,0,1,True,146653907833347737
Matz Sels,26.0,be BEL,GK,33-172,90,28,21,7,2,0,1,0,0,0,0,0,0,19,0,0,True,146653907833347737
Thiago,9.0,br BRA,FW,24-052,90,16,13,3,0,0,0,0,0,0,0,0,0,12,0,1,False,146653907833347737
Fabio Carvalho,14.0,pt POR,"LW,RW,AM",22-352,90,16,12,4,0,0,0,4,0,3,0,2,0,12,0,0,False,146653907833347737
Keane Lewis-Potter,23.0,eng ENG,RW,24-176,68,17,16,1,0,0,0,3,1,0,0,0,0,11,0,1,False,146653907833347737
Frank Onyeka,15.0,ng NGA,LM,27-228,22,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,False,146653907833347737
Antoni Milambo,17.0,nl NED,AM,20-136,45,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,False,146653907833347737
Kevin Schade,7.0,de GER,LW,23-263,45,10,9,1,0,0,0,0,1,0,0,0,0,7,0,0,False,146653907833347737
